"location_id","Rep","Crop","Grass","Standcount"
"FAB_UNL_keystone","1","Corn","Control",7
"FAB_UNL_keystone","1","Corn","Control",7
"FAB_UNL_keystone","1","Corn","RhB",8
"FAB_UNL_keystone","1","Corn","RhB",7
"FAB_UNL_keystone","1","Corn","KBG",7
"FAB_UNL_keystone","1","Corn","KBG",7
"FAB_UNL_keystone","2","Corn","RhB",7
"FAB_UNL_keystone","2","Corn","RhB",7
"FAB_UNL_keystone","2","Corn","KBG",8
"FAB_UNL_keystone","2","Corn","KBG",7
"FAB_UNL_keystone","2","Corn","Control",7
"FAB_UNL_keystone","2","Corn","Control",7
"FAB_UNL_keystone","2","Soybean ","RhB",26
"FAB_UNL_keystone","2","Soybean ","RhB",33
"FAB_UNL_keystone","2","Soybean ","KBG",32
"FAB_UNL_keystone","2","Soybean ","KBG",26
"FAB_UNL_keystone","2","Soybean ","Control",33
"FAB_UNL_keystone","2","Soybean ","Control",27
"FAB_UNL_keystone","1","Soybean ","KBG",33
"FAB_UNL_keystone","1","Soybean ","KBG",29
"FAB_UNL_keystone","1","Soybean ","Control",28
"FAB_UNL_keystone","1","Soybean ","Control",35
"FAB_UNL_keystone","1","Soybean ","RhB",35
"FAB_UNL_keystone","1","Soybean ","RhB",28
"FAB_UNL_keystone","1","Corn","KBG",7
"FAB_UNL_keystone","1","Corn","KBG",8
"FAB_UNL_keystone","1","Corn","Control",7
"FAB_UNL_keystone","1","Corn","Control",6
"FAB_UNL_keystone","1","Corn","RhB",7
"FAB_UNL_keystone","1","Corn","RhB",7
"FAB_UNL_keystone","2","Corn","Control",7
"FAB_UNL_keystone","2","Corn","Control",8
"FAB_UNL_keystone","2","Corn","RhB",7
"FAB_UNL_keystone","2","Corn","RhB",7
"FAB_UNL_keystone","2","Corn","KBG",6
"FAB_UNL_keystone","2","Corn","KBG",8
"FAB_UNL_keystone","3","Corn","RhB",7
"FAB_UNL_keystone","3","Corn","RhB",7
"FAB_UNL_keystone","3","Corn","KBG",7
"FAB_UNL_keystone","3","Corn","KBG",5
"FAB_UNL_keystone","3","Corn","Control",7
"FAB_UNL_keystone","3","Corn","Control",7
"FAB_UNL_keystone","4","Corn","KBG",7
"FAB_UNL_keystone","4","Corn","KBG",7
"FAB_UNL_keystone","4","Corn","Control",7
"FAB_UNL_keystone","4","Corn","Control",7
"FAB_UNL_keystone","4","Corn","RhB",7
"FAB_UNL_keystone","4","Corn","RhB",7
"FAB_UNL_keystone","4","Corn","KBG",7
"FAB_UNL_keystone","4","Corn","KBG",6
"FAB_UNL_keystone","4","Corn","Control",7
"FAB_UNL_keystone","4","Corn","Control",7
"FAB_UNL_keystone","4","Corn","RhB",7
"FAB_UNL_keystone","4","Corn","RhB",7
"FAB_UNL_keystone","3","Corn","Control",8
"FAB_UNL_keystone","3","Corn","Control",7
"FAB_UNL_keystone","3","Corn","RhB",7
"FAB_UNL_keystone","3","Corn","RhB",7
"FAB_UNL_keystone","3","Corn","KBG",8
"FAB_UNL_keystone","3","Corn","KBG",7
"FAB_UNL_keystone","3","Soybean ","Control",32
