"location_id","Rep","Crop","Grass","CPGC_SepDstR_cm"
"FAB_UNL_keystone","1","Corn","RhB",21.25
"FAB_UNL_keystone","1","Corn","RhB",30
"FAB_UNL_keystone","1","Corn","KBG",5
"FAB_UNL_keystone","1","Corn","KBG",26
"FAB_UNL_keystone","2","Corn","RhB",21
"FAB_UNL_keystone","2","Corn","RhB",39
"FAB_UNL_keystone","2","Corn","KBG",5.5
"FAB_UNL_keystone","2","Corn","KBG",15.5
"FAB_UNL_keystone","2","Soybean ","RhB",21.75
"FAB_UNL_keystone","2","Soybean ","RhB",11
"FAB_UNL_keystone","2","Soybean ","KBG",5
"FAB_UNL_keystone","2","Soybean ","KBG",13.5
"FAB_UNL_keystone","1","Soybean ","KBG",9
"FAB_UNL_keystone","1","Soybean ","KBG",15.5
"FAB_UNL_keystone","1","Soybean ","RhB",10.25
"FAB_UNL_keystone","1","Soybean ","RhB",15
"FAB_UNL_keystone","1","Corn","KBG",7
"FAB_UNL_keystone","1","Corn","KBG",27.5
"FAB_UNL_keystone","1","Corn","RhB",13
"FAB_UNL_keystone","1","Corn","RhB",33
"FAB_UNL_keystone","2","Corn","RhB",21.75
"FAB_UNL_keystone","2","Corn","RhB",36.5
"FAB_UNL_keystone","2","Corn","KBG",5
"FAB_UNL_keystone","2","Corn","KBG",34
"FAB_UNL_keystone","3","Corn","RhB",15.5
"FAB_UNL_keystone","3","Corn","RhB",12
"FAB_UNL_keystone","3","Corn","KBG",14.25
"FAB_UNL_keystone","3","Corn","KBG",7.5
"FAB_UNL_keystone","4","Corn","KBG",10
"FAB_UNL_keystone","4","Corn","KBG",9.5
"FAB_UNL_keystone","4","Corn","RhB",17
"FAB_UNL_keystone","4","Corn","RhB",21
"FAB_UNL_keystone","4","Corn","KBG",16.25
"FAB_UNL_keystone","4","Corn","KBG",6
"FAB_UNL_keystone","4","Corn","RhB",24.5
"FAB_UNL_keystone","4","Corn","RhB",25
"FAB_UNL_keystone","3","Corn","RhB",42.5
"FAB_UNL_keystone","3","Corn","RhB",14
"FAB_UNL_keystone","3","Corn","KBG",12.3
"FAB_UNL_keystone","3","Corn","KBG",11
"FAB_UNL_keystone","3","Soybean ","RhB",17
"FAB_UNL_keystone","3","Soybean ","RhB",17.5
"FAB_UNL_keystone","3","Soybean ","KBG",15.5
"FAB_UNL_keystone","3","Soybean ","KBG",15
"FAB_UNL_keystone","4","Soybean ","RhB",7
"FAB_UNL_keystone","4","Soybean ","RhB",2.5
"FAB_UNL_keystone","4","Soybean ","KBG",18.5
"FAB_UNL_keystone","4","Soybean ","KBG",15
"FAB_UNL_keystone","6","Corn","KBG",22
"FAB_UNL_keystone","6","Corn","KBG",13
"FAB_UNL_keystone","6","Corn","RhB",7
"FAB_UNL_keystone","6","Corn","RhB",15.5
"FAB_UNL_keystone","5","Corn","RhB",15.5
"FAB_UNL_keystone","5","Corn","RhB",13
"FAB_UNL_keystone","5","Corn","KBG",10.5
"FAB_UNL_keystone","5","Corn","KBG",10.5
"FAB_UNL_keystone","5","Corn","KBG",11
"FAB_UNL_keystone","5","Corn","KBG",12
"FAB_UNL_keystone","5","Corn","RhB",7.5
"FAB_UNL_keystone","5","Corn","RhB",8.5
"FAB_UNL_keystone","6","Corn","KBG",18
"FAB_UNL_keystone","6","Corn","KBG",18.5
"FAB_UNL_keystone","6","Corn","RhB",18.5
"FAB_UNL_keystone","6","Corn","RhB",19.5
"FAB_UNL_keystone","6","Soybean ","RhB",15
"FAB_UNL_keystone","6","Soybean ","RhB",14.5
"FAB_UNL_keystone","6","Soybean ","KBG",10.5
"FAB_UNL_keystone","6","Soybean ","KBG",8
"FAB_UNL_keystone","5","Soybean ","RhB",9
"FAB_UNL_keystone","5","Soybean ","RhB",17.5
"FAB_UNL_keystone","5","Soybean ","KBG",12.5
"FAB_UNL_keystone","5","Soybean ","KBG",18.5
"FAB_TLI_keystone","2","Soybean","KBG",18
"FAB_TLI_keystone","2","Soybean","KBG",17.5
"FAB_TLI_keystone","2","Soybean","RhB",14
"FAB_TLI_keystone","2","Soybean","RhB",17.5
"FAB_TLI_keystone","1","Soybean","RhB",10
"FAB_TLI_keystone","1","Soybean","RhB",8
"FAB_TLI_keystone","1","Soybean","KBG",6
"FAB_TLI_keystone","1","Soybean","KBG",8.5
"FAB_TLI_keystone","1","Corn","RhB",11.5
"FAB_TLI_keystone","1","Corn","RhB",16.5
"FAB_TLI_keystone","1","Corn","KBG",16
